"Patient","ROI","cell_ID","Location_Center_X","Location_Center_Y","initial_cell_type","NMF_clustering","LAG3_CD4","FOXP3_CD4","CCR4_CD4","CTLA4_CD4","PD1_CD4","CXCL13_CD4","Ki67_CD4","GranzymeB_CD8","TIM3_PD1_CD8","CD27_B","CXCR5_B","CD11c_B","BCL6_B","Ki67_B","CCL17_HRS","CXCR5_HRS","CD47_HRS","CXCR4_HRS","TGFB_HRS","Galectin9_HRS","PDL1_HRS","CLEC2D_HRS","CD123_HRS","CD80_HRS","Ki67_HRS","CD123_Mac_Myeloid","CD163_Mac_Myeloid","PDL1_Mac_Myeloid","Galectin9_Mac_Myeloid","CD80_Mac_Myeloid","TIM3_Mac_Myeloid","CXCL13_Mac_Myeloid","Ki67_Mac_Myeloid","Fibronectin_Stromal","Vimentin_Stromal","SMA_Stromal","CXCL12_Stromal","CXCL13_Stromal","Ki67_Stromal","PD1_TFH_CD4","LAG3_CD4_summary_metric","FOXP3_CD4_summary_metric","CCR4_CD4_summary_metric","CTLA4_CD4_summary_metric","PD1_CD4_summary_metric","CXCL13_CD4_summary_metric","Ki67_CD4_summary_metric","CD123_Mac_Myeloid_summary_metric","CD163_Mac_Myeloid_summary_metric","PDL1_Mac_Myeloid_summary_metric","Galectin9_Mac_Myeloid_summary_metric","CD80_Mac_Myeloid_summary_metric","TIM3_Mac_Myeloid_summary_metric","CXCL13_Mac_Myeloid_summary_metric","Ki67_Mac_Myeloid_summary_metric","CCL17_HRS_summary_metric","CXCR5_HRS_summary_metric","CD47_HRS_summary_metric","CXCR4_HRS_summary_metric","TGFB_HRS_summary_metric","Galectin9_HRS_summary_metric","PDL1_HRS_summary_metric","CLEC2D_HRS_summary_metric","CD123_HRS_summary_metric","CD80_HRS_summary_metric","Ki67_HRS_summary_metric","CD27_B_summary_metric","CXCR5_B_summary_metric","CD11c_B_summary_metric","BCL6_B_summary_metric","Ki67_B_summary_metric","Fibronectin_Stromal_summary_metric","Vimentin_Stromal_summary_metric","SMA_Stromal_summary_metric","CXCL12_Stromal_summary_metric","CXCL13_Stromal_summary_metric","Ki67_Stromal_summary_metric","GranzymeB_CD8_summary_metric","TIM3_PD1_CD8_summary_metric","CD68_Mac_Myeloid","CD68_Mac_Myeloid_summary_metric","PD1_TFH_CD4_summary_metric","PD1_CD4_Treg_summary_metric","PD1_CXCL13_CD4_summary_metric"
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_13615",1056.64646464646,906.616161616162,"T","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.172275942353286,0,0.55768283265194,0.887482585816722,0,0,0.740606300470012,0.496270092040854,0,0.813260834995099,0.875414279537895,0.208237974713959,0.034198823198448,0.475505660607521,0.548097804832351,0,0,0.158071224435657,0,0,0,0.158071224435657,0.0522338025136159,0.0129695317782991,0.158071224435657,0,0,0,0.323310729904011,0,0.038516371182981,0.632621979800709,0.515087014500647,0.634008043130909,0,0.304840951254448,0,0,"0",0.925487673520596,0,0.887482585816722,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_13617",1356.625,904.361111111111,"T","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.0874593818784504,0,0.66456207436095,0.719647296717759,0,0,0.571306490578916,0.454667079316375,0,0.787667240255116,0.747776038391974,0.270317177447287,0.327800489304256,0.738819767085975,0.898844918670338,0,0,0.321761920274808,0,0.460287570442267,0,0.611871183782803,0.804711529774518,0.608267858923471,0.716138635482311,0.200456247549724,0,0,0.852260676248905,0.200456247549724,0.0904774010142887,0.595893910128632,0.506488528863324,0.292614721511453,0,0,0,0,"0",0.798868855300305,0,0.719647296717759,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_13651",983.507936507937,908.174603174603,"T","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.0502183000761153,0,0.717314280743895,0.845358060224937,0,0,0.533106480183911,0.606972328829816,0,0.895448345487998,0.730492856302105,0.211069114523583,0.0619331127208481,0.287290249612602,0.233583852547284,0,0,0.0301387457211227,0,0,0,0.0301387457211227,0,0,0.0301387457211227,0,0,0,0.438193347333003,0,0.224202175688738,0.754704099223086,0.784290390536063,0.706195839847202,0,0.427427578715968,0,0,"0",0.813862322871518,0,0.845358060224937,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_13661",1122.81407035176,906.497487437186,"T","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.296721900555453,0,0.626944819723217,0.823003406949532,0,0,0.696543581949201,0.503714095257926,0,0.881860155358388,0.810481383257703,0.152589822335321,0.26682611588189,0.635343542268675,0.770215141848601,0,0,0.280604168802779,0,0.0511989697379477,0,0.331803138540726,0.254733292421804,0.15493538573175,0.334856192922745,0,0,0,0.314498510711381,0,0.0426619957199627,0.583695395766009,0.286723903340286,0.419477838180542,0,0.130227087766057,0,0,"0",0.86859621314671,0,0.823003406949532,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_13700",1293.77777777778,910.555555555556,"T","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.16286778670575,0,0.723874920610863,0.725376467538292,0,0,0.564495222578054,0.456905003208381,0,0.908090684981285,0.907503891727259,0.119467405710761,0.578030809960156,0.687809680380976,0.759943209786362,0,0,0.264147255316423,0,0.34505577968942,0,0.454330190872588,0.647840286956172,0.595941369722101,0.518675121840813,0.123258398675761,0,0,0.857427677344855,0.123258398675761,0.132900286517751,0.671326851431945,0.590551786952278,0.338746825504834,0,0,0,0,"0",0.820478393222812,0,0.725376467538292,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_13757",1545.90909090909,913.909090909091,"T","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.585187348923603,0,0.613738040209256,0.858526702418601,0,0,0.849979830465113,0.180551835237629,0,0.828199621611402,0.638625140371695,0.228584065238236,0.150091641714921,0.707412008657369,0.727975498223644,0,0,0.150230305143027,0,0.138874420720742,0,0.264137800251828,0.200552057377021,0.560178294452405,0.467967687063783,0.415373111184636,0,0,0.951585452946625,0.415373111184636,0,0.294857130837459,0.655717459237201,0.29582635926229,0,0.198688862853896,0,0,"0",0.663687063165682,0,0.858526702418601,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_13792",920.241379310345,915.793103448276,"T","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0.701671468804583,0.826641254317162,0,0,0.615498308585805,0.807321244643933,0,0.835242798940318,0.708774462961543,0.164935325057026,0.129373837342296,0.280433036917382,0.0654866394881239,0,0,0,0,0,0,0,0,0,0,0.0214944132780859,0,0,0.482089285238519,0.0214944132780859,0.492330395378414,0.659681005615172,0.707838913353802,0.754594983607355,0,0.348384309617901,0,0,"0",0.922519889617434,0,0.826641254317162,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_13814",964.4296875,917.1640625,"T","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.0249414463153705,0,0.727921503328957,0.860010988921321,0,0,0.527321608408127,0.682122587918444,0,0.884839702327793,0.692127692135061,0.187655102668835,0.0828953857654419,0.238401800326065,0.155837741738641,0,0,0.00865539906858501,0,0,0,0.00865539906858501,0,0,0.00865539906858501,0,0,0,0.438102169111455,0,0.298675911867931,0.763786417767565,0.804576220190585,0.671726011004301,0,0.40206488794435,0,0,"0",0.795920143074927,0,0.860010988921321,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_13815",1002.82644628099,915.057851239669,"T","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.0892809255516923,0,0.582068346425215,0.875187467462601,0,0,0.578568743792298,0.575669886806296,0,0.854264772015978,0.779868826072394,0.197456659076813,0.0421979119386267,0.31270258634947,0.329868692010911,0,0,0.0489365729054647,0,0,0,0.0489365729054647,0,0,0.0489365729054647,0,0,0,0.414699974024249,0,0.134742955347657,0.740704787685858,0.766893119287795,0.690525162071367,0,0.389773066540236,0,0,"0",0.860713902525398,0,0.875187467462601,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_13886",1010.14018691589,918.140186915888,"T","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.104010434090863,0,0.673734875127357,0.853443021604243,0,0,0.60496695078194,0.567311345337648,0,0.842569989967763,0.801770695473523,0.197067672518479,0.0346160437353499,0.317894962106157,0.366001699304855,0,0,0.0571504936743906,0,0,0,0.0571504936743906,0.00161169223293527,0,0.0571504936743906,0,0,0,0.411734334868654,0,0.0997644716372003,0.736086449738411,0.746172856727473,0.682493602351034,0,0.377212269092146,0,0,"0",0.877008229411601,0,0.853443021604243,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_13924",952.886363636364,921.181818181818,"T","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.0169559052323116,0,0.648985340484817,0.906279177849444,0,0,0.537267944591417,0.731902052593209,0,0.870506700831665,0.688864133025693,0.173680913123019,0.0952795135844477,0.244470820247865,0.127250795922925,0,0,0,0,0,0,0,0,0,0,0,0,0,0.441374590489711,0,0.342050646469042,0.753230463429067,0.796397140981423,0.684319039983084,0,0.381748159484336,0,0,"0",0.806653271252979,0,0.906279177849444,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_13926",1013.07070707071,924.808080808081,"T","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.112532704172596,0,0.654720430905728,0.898373010817619,0,0,0.606649741506697,0.577999589647258,0,0.841994619208938,0.801814728236375,0.198138994312906,0.0316112777185213,0.300319033522595,0.386852012679833,0,0,0.0584512774811802,0,0,0,0.0584512774811802,0.00239418628486305,0,0.0584512774811802,0,0,0,0.417159789704651,0,0.0829679608965627,0.737982898951991,0.7456624109249,0.666565111627928,0,0.361726077915814,0,0,"0",0.890892645311802,0,0.898373010817619,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_13938",991.733524355301,925.040114613181,"T","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.0736995623935844,0,0.702647536080587,0.86243638126527,0,0,0.540969504236829,0.628618698344268,0,0.85022452616312,0.730523264283455,0.182917533316259,0.0541900565208424,0.264871725837652,0.291632320186537,0,0,0.0350199761855707,0,0,0,0.0350199761855707,0,0,0.0350199761855707,0,0,0,0.432469575333869,0,0.175550677623268,0.75751318450509,0.816125670318564,0.684979626482123,0,0.374292802862358,0,0,"0",0.86529383947587,0,0.86243638126527,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_13963",1177.39130434783,923.304347826087,"T","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.337491768523561,0,0.656501909765168,0.851911307691409,0,0,0.643662637442254,0.571019018589612,0,0.856145042030488,0.861757490486232,0.0992297993798797,0.50723959444239,0.697465500291739,0.812009174925751,0,0,0.284556902252798,0,0.105644613033823,0,0.390201515286621,0.501385288397586,0.369190472081781,0.441907574600565,0,0,0,0.449669181816301,0,0.0675301884343497,0.717586066108468,0.375273091472867,0.255349135870049,0,0.0238874501594582,0,0,"0",0.899860576728775,0,0.851911307691409,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_13966",1553.35,924.5,"T","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.710591359253837,0,0.620108300506177,0.806161931461606,0,0,0.838267652040126,0.155185335794627,0,0.80261509513698,0.604139650953716,0.221272582557767,0.155595210804653,0.67504020587905,0.681748722876014,0,0,0.126237941047951,0,0.12390961851611,0,0.248125194874654,0.179353423410698,0.533475716582159,0.406379664052928,0.434954577983893,0,0,0.925919582572653,0.434954577983893,0,0.295399464545742,0.694998538474943,0.274789039235668,0,0.201131189777022,0,0,"0",0.631846402894375,0,0.806161931461606,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_13996",1113.94117647059,925.205882352941,"T","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.303948841215488,0,0.570548295427716,0.817022999209304,0,0,0.69124061934737,0.510314594423413,0,0.923278736855434,0.80582780354352,0.185419523154846,0.219390660522291,0.56600915358526,0.703955448866802,0,0,0.23872501113163,0,0.0541087569010863,0,0.292833768032716,0.237197989843089,0.134369142044255,0.299157258540914,0,0,0,0.289666956490893,0,0.0227903292293437,0.631268154753255,0.322889146234769,0.4192533626365,0,0.151488917269975,0,0,"0",0.871026612640349,0,0.817022999209304,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_14033",1036.525,931.45,"T","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.156021074334138,0,0.567398030987071,0.866629112574528,0,0,0.686464808989323,0.517596942571472,0,0.856193697667316,0.84850253777346,0.214196975762868,0.0101662696346853,0.348705655921472,0.491690842101451,0,0,0.098589029841696,0,0,0,0.098589029841696,0.0229592758857381,0,0.098589029841696,0,0,0,0.390725047379773,0,0.0353953260062799,0.721989227104783,0.658019031090749,0.631545630970164,0,0.316537330769325,0,0,"0",0.918506747518257,0,0.866629112574528,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_14035",1148.85365853659,927.84756097561,"T","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.340619286251422,0,0.708838692498922,0.862700335089174,0,0,0.673528065493231,0.524841435060653,0,0.856862988469135,0.811839117023972,0.151176999452736,0.369663533223484,0.660303778627559,0.754221690980235,0,0,0.26386852603578,0,0.0868038347116716,0,0.350672360747451,0.396017442002611,0.249806363398842,0.386760084342609,0,0,0,0.376378857573596,0,0.0464383518045187,0.709105321904183,0.309585691473501,0.295357687738668,0,0.054536000020704,0,0,"0",0.908670910169349,0,0.862700335089174,0
"CLC00975","TMA15_CLC00975_2","TMA15_CLC00975_2_14038",1541.07792207792,930.064935064935,"T","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0.683639555562824,0,0.62525618449296,0.796031597314689,0,0,0.816796286160453,0.178731533061991,0,0.808379334958948,0.638449840708039,0.26384248807189,0.160976997642769,0.676155750948224,0.676915791044829,0,0,0.149623496487585,0,0.13842083483994,0,0.267564211367309,0.226403356313484,0.551641716439556,0.421304072263587,0.425499313583298,0,0,0.908818535913332,0.425499313583298,0,0.323768804610196,0.710515828336092,0.260950259241569,0,0.174765420357702,0,0,"0",0.671901049097574,0,0.796031597314689,0
