ID	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	GeneRatio_num	BgRatio_num	Enrichment	Comparison	Direction
HRS_affy_Steidl	22/199	291/41384	6.38E-20	1.01E-15	6.90E-16	SOCS3/CCL17/ZBTB32/NCALD/CD274/IL9/PTP4A3/GJB2/AHCYL1/CCL5/IER3/IL2RA/KCNJ2/SLC27A2/TGFBR3/APOL1/AKAP12/CCND2/STEAP3/SOCS2/RHEBL1/STEAP1	22	0.110552764	0.007031703	15.72204666	E788_vs_WT	up
GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_4H_UP	15/199	196/41384	4.97E-14	3.92E-10	2.69E-10	SOCS3/CD274/GJB2/SLCO4A1/IER3/LINC01093/SLAMF1/IL2RA/KCNJ2/ADAM19/FERMT2/BCAT1/SOCS2/FSD1L/STEAP1	15	0.075376884	0.00473613	15.91529074	E788_vs_WT	up
HRS_affy_Steidl_sign_100	12/199	100/41384	7.94E-14	4.17E-10	2.86E-10	SOCS3/CCL17/ZBTB32/CD274/PTP4A3/AHCYL1/CCL5/IER3/IL2RA/APOL1/CCND2/RHEBL1	12	0.060301508	0.002416393	24.95517588	E788_vs_WT	up
GSE30971_CTRL_VS_LPS_STIM_MACROPHAGE_WBP7_KO_2H_UP	14/199	196/41384	9.12E-13	3.59E-09	2.47E-09	SOCS3/CD274/GJB2/OSM/SLCO4A1/IER3/LINC01093/SLAMF1/IL2RA/KCNJ2/ADAM19/BCAT1/SOCS2/FSD1L	14	0.070351759	0.00473613	14.85427136	E788_vs_WT	up
SCHUHMACHER_MYC_TARGETS_UP	10/199	80/41384	6.47E-12	2.04E-08	1.40E-08	TRAP1/EBNA1BP2/MYC/RRP1B/PYCR1/NOLC1/SRM/TBL3/BOP1/VARS1	10	0.050251256	0.001933114	25.99497487	E788_vs_WT	up
TTCYNRGAA_STAT5B_01	16/199	341/41384	1.27E-11	3.14E-08	2.16E-08	FAP/LTA/NCALD/MTTP/OSM/CCL5/PTPRO/SLAMF1/EXTL2/WIPF1/HSD3B7/SEPTIN9/CCND2/IRF8/SOCS2/PROS1	16	0.08040201	0.008239899	9.757644528	E788_vs_WT	up
GSE9988_ANTI_TREM1_AND_LPS_VS_VEHICLE_TREATED_MONOCYTES_UP	13/199	195/41384	1.45E-11	3.14E-08	2.16E-08	CD274/SLCO4A1/DDIT4/IER3/GNPDA1/TUBE1/FNIP2/S1PR3/RAPGEF2/FERMT2/PLPP3/SLC9B2/CHAC1	13	0.065326633	0.004711966	13.8639866	E788_vs_WT	up
GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_DN	13/199	198/41384	1.76E-11	3.14E-08	2.16E-08	LTA/IL9/SFXN4/TRAP1/SLAMF1/IL2RA/COPRS/TTLL12/NPM3/CDC45/SPAG1/IRF8/MRPS34	13	0.065326633	0.004784458	13.6539262	E788_vs_WT	up
GSE21670_STAT3_KO_VS_WT_CD4_TCELL_DN	13/199	199/41384	1.87E-11	3.14E-08	2.16E-08	SOCS3/GNPDA1/SFXN4/IL2RA/MYC/ADAM19/MTHFD1L/SOCS2/SLC9B2/TAF4B/NOLC1/SRM/VARS1	13	0.065326633	0.004808622	13.5853135	E788_vs_WT	up
GSE36476_CTRL_VS_TSST_ACT_16H_MEMORY_CD4_TCELL_YOUNG_DN	13/199	200/41384	1.99E-11	3.14E-08	2.16E-08	LTA/CCL17/IL9/SLCO4A1/IER3/CLIC2/TRAP1/IL2RA/NPM3/AKR1A1/TESC/SRM/TBL3	13	0.065326633	0.004832786	13.51738693	E788_vs_WT	up
