Gene	Emp-1	Emp-2	WT-1	WT-2	E788-1	E788-2
NCALD	-1.4114385832113607	-0.6478210070082969	-0.30339646860624225	0.16765920482730695	0.9257363123710567	1.26926054162754
PTP4A3	-1.3524555029091496	-0.8673031075379098	-0.07783158682388203	0.3682084254895786	0.508753817231139	1.4206279545502227
LTBP2	-1.431970311183399	0.0949310663688999	-0.38133494318890154	-0.5236722774236522	1.060138296475341	1.1819081689517121
ATP8B4	-1.3825075782153409	-0.5055024072522948	0.2542519568228969	-0.5726442511158726	1.160074272766346	1.0463280069942655
LTA	-1.084981287281383	-1.1535799020232516	-0.00415298559385165	0.03783838028536383	1.2754716956667074	0.9294040989464113
KCNJ2	-1.1291224340186625	-1.2058646052471569	0.5644215745402612	-0.08518725138955197	1.2619687326471067	0.5937839834680037
SLC26A4	-0.5989595126076256	-1.7288051803221345	0.5970740078208419	0.18326451123473056	0.9541750179078476	0.5932511559663391
KCNA3	-0.5685396101440572	-1.754645820912502	0.6591674896950381	0.2122536883515042	0.9056286480332327	0.5461356049767842
RHOV	-0.5317290660856386	-1.494145677767595	-0.03411622235116841	-0.1449850256371831	1.2282829825114474	0.9766930093301395
PM20D2	-0.5031981596989816	-1.4350876299395159	-0.0672728966237188	-0.2458324478426392	1.3354273625374313	0.9159637715674197
CCND1	-0.1609654086419114	-1.6565701930113172	0.2254125904889182	-0.3922060232913778	1.1601646268979013	0.8241644075577883
CCL17	-0.5656308385645552	-1.6391888626256792	0.3874611080157698	-0.05397192404278408	1.1467855986575166	0.7245449185597288
ZBTB32	-0.6897014118048382	-1.4701171592160462	0.21960282704920653	-0.1286386172941573	1.3156877547997041	0.7531666064661334
IL13	-0.7880056745917297	-1.0437190836981949	0.4256947286067632	-0.5134652266932002	1.6677744534296655	0.2517208029466961
SLAMF1	-0.6374876387737922	-1.284525691486673	0.26814116335118665	-0.20849835264331645	1.670786515769584	0.19158400378301263
TNFRSF9	-0.33526643212289026	-1.3863841286159146	0.6433382011966816	-0.6314665381998903	1.4427795312190568	0.2669993665229578
CCL22	-0.33308452573094016	-1.243430628899941	0.8475929262896295	-0.8706914059454239	1.341579734171654	0.25803390011502153
SSTR2	-0.25078160968273105	-0.7283137625066426	-0.4614238967288389	-0.9439034240899774	1.6718289919472815	0.7125937010609077
