Clones,UHO1_IL5_TARC
Empty,99.65854
Empty_pacritinib,37.36585
WT,141.4146
WT_pacritinib,77.31707
WT_E788,223.2683
WT_E788_pacritinib,106.7317
Empty,95.80488
Empty_pacritinib,68.04878
WT,140.7317
WT_pacritinib,73.12195
WT_E788,241.561
WT_E788_pacritinib,90.4878
Empty,125.5286
Empty_pacritinib,54.38571
WT,132.8143
WT_pacritinib,90.04286
WT_E788,241.7571
WT_E788_pacritinib,131.7857
Empty,134.6143
Empty_pacritinib,58.92857
WT,155.7857
WT_pacritinib,106.3286
WT_E788,315.1286
WT_E788_pacritinib,140.0143
