Sample	CSF2RB_MUT	CCL17
GSM956616	WT	11.288730513350204
GSM956617	WT	5.11036122782588
GSM956619	Mutated	11.29671656697459
GSM956620	Mutated	11.616268719680505
GSM956621	Mutated	11.737973863399846
GSM956622	WT	10.70254955913304
GSM956623	WT	11.096104183171274
GSM956624	WT	10.702371338331236
GSM956625	WT	11.328488803989636
GSM956626	WT	11.022273266684692
GSM956627	WT	11.078625637161792
GSM956628	Mutated	11.39904650641582
GSM956629	WT	4.234533129579717
GSM956630	Mutated	11.16384301842513
GSM956631	Mutated	11.615513360861074
GSM956632	WT	10.881910586418297
GSM956634	WT	11.59620585975161
GSM956639	WT	11.39386449611365
GSM956640	WT	10.273334330803653
GSM956641	WT	10.98386253474155
GSM956642	WT	9.070014593316671
